标签,文本
like,。哇 红姑依然这么性感[花心] //@孙立基ChristopherSun:甘先生這帖，必須轉發！。[太阳]
sadness,。殺青快6個月我還沒出來...。演完靜秋狀態就變了...。不象...。潛移默化...。我覺得挺好就留下來了...。靜秋其實 特別安靜...。剔除一些不好的留下一些好的...。關鍵的時侯拿出來給大家看看...。其實我在家不太鬧...。出了門才鬧...。大家挺辛苦的...。講點笑話給大家聽...。沒有...。一直在拍廣告...。上海結束之後就直接去成都拍戲
disgust,。不带这么误导博友的！。[鄙视] 今年清明假期是4月3、4、5日（周日、一、二），充其量只能翘4月1日（愚人节）和4月2日（周六），然后4月6日（周三）面带微笑毫无鸭梨地归校……
anger,。高考语文作文真她妹变态，身边很多人没写完，出门时候还看到有人因为没写完哭了…。幸亏昨天晚上看了一晚政治，今天写作文把政治生活、普遍联系、事物发展能动性、整体与部分知识点都套作文里了，最后还剩5分钟时候惊险的写完了……
disgust,。润~滑~剂。。。。对不起我想歪了-_-///。还是这么一大盘。。。。唉。。其实每天看人家的小菊花被摧残我真的好纠结。。。
happiness,。终于又有一家本土搜索公司要挣扎突围了：搜狐旗下搜狗近日提交上市计划，何时何地上市都没定，确定的是它要把融资偿还欠搜狐的近3亿元贷款。。坏消息是，根据易观报告，截止去年第4季度，百度仍以75%份额遥遥领先，Google跌破20%。。而搜狗、搜搜和网易三家加起来份额仍不足2%。。搜狗上市会改变这一局面吗？
like,"。这些图是我在等签名的时侯拍的,因为要签名的人很多,我们把谷帅从中间挤到边上,从边上挤到走廊,他总是很耐心滴为我们签名.。那个回头的情况是他说""这谁的笔""。中间编导想几次想绑架把他带走,他却说""都签,必须签""[泪] 当时感动的我哟.。哥,真的很值得我们爱....。使劲爱哥吧.[爱你] [爱你] [爱你] [爱你]"
disgust,。四点半后，北京就没有路了。。rich ling说北欧人把车子变成移动电话亭，中国的路况就太适合玩微博了。
surprise,。他点做到的，我模仿了6年都学不成，这个人注定载入史册，总分590，英语5分。。他创造了两项记录啊，1.史上最牛跛课生，英语5分照样上重本。。2.英语5分，他巧妙的避开了所有正确答案啊，比考145分更有难度啊。。各位跛课生，来膜拜跛课帝吧！！
like,。听说明天四六级考试，想当年小何我英语学的不怎么样，但是北外来面试的时候我超水平发挥顺利过关，可见临场的状态还挺有用的。。那就祝愿大家明天小宇宙集体爆发，过级顺利！。你！。没问题的！
sadness,。我发现我可真是赚到了，才活了不过20几年，碰上了50年一遇的旱灾，100年一遇的洪水，60年一遇的大雪，300年一遇的泥石流，500年一遇的地震，600年一遇的海啸.....。人家轮回转世好几趟都碰不全呀！!
like,。关于减肥我教大家个小妙招[饞嘴]：1 吃饭的时候喝个水饱[咖啡] 2 饿着肚子做一些体力活动（比如我经常拍照连饭都顾不上吃[淚] ）3去健身房做魔鬼训练[憤怒] （我一个哥哥以前一直180 后来去锻炼后150） 但是其实我觉得不一定要特别瘦 瘦是上镜但是现实生活中还是丰满一点好看！。希望能帮到大家[呵呵]
disgust,"。買的黑色襯衣扣子都太難扣了,如非要做特別款的鈕扣,能不能喊選料選配件的設計師啊或者誰先穿上去扣鈕和脫鈕扣三次,試驗一下?"
anger,。气死了，急死了，好好的干吗非要玩什么泼水，还要灌酒。。。。我我我想骂人！。控告剧组75演员！。这大半夜的，高高兴兴盼杀青，结果却是一地的BLX。。。
sadness,。上火上火.。我想吃的肉也没慢慢品尝[委屈][委屈][委屈]还扁桃体也犯啦！！！。[打哈气][打哈气][打哈气][打哈气][打哈气]
like,。试着想起--这首歌好听！。突然发觉微博有个新的功能--记事板！。先记下来，等会就去搜索这首歌，然后保存。。不错的想法！
sadness,。悲催的旅行，本应该在飞往成都的飞机上，可我们的飞机到现在还没从成都起飞呢。。看来只能改成T3一日游了。
sadness,。刚刚11点半时候登陆新浪首页关注下高考的消息，发现辽宁的作文题目：如何看待高晓松酒驾 刚才再次刷新却变成了材料作文····。到底哪个是真的？？。反正我一个都没思路····语文功底退化到了极限！！！！。[衰]
like,"。有一种奉献,叫做&amp;amp;lt;光辉岁月&amp;amp;gt;；有一种感激,叫做&amp;amp;lt;真的爱你&amp;amp;gt;；有一种境界,叫做&amp;amp;lt;海阔天空&amp;amp;gt;；有一种离开,叫 做&amp;amp;lt;无声的告别&amp;amp;gt;。。有一种天气,叫做&amp;amp;lt;冷雨夜 &amp;amp;gt;，有一种景象,叫做&amp;amp;lt;昔日的足迹&amp;amp;gt;。，有一种态度,叫做&amp;amp;lt;不再犹豫 &amp;amp;gt;。。很少有人在18年后忘记他的歌；很少有人写一首歌让我们热泪满眶。。。今天，向家驹致敬。"
disgust,"。位列三公，贵极人臣，这是古时候为官的最高境界，但能做到的没几个人。。现在就不一样了，享受""三公""待遇的官员比比皆是，公费出国、公款配车、公款吃喝已然成了司空见惯的事，这应该也算是社会制度的一大进步吧"
sadness,"。我已经习惯一个人了,我已经习惯一个人吃飯,我已经习惯一个人看电影,我已经习惯一个人行街,我已经习惯一个人上班,我已经习惯一个人下班,我已经习惯我的右手沒有你的左手,我已经习惯没有你每天在身旁抱著我說:""宝贝,起床了！。""我已经习惯了沒有你每晚在临睡前对我說:""亲爱的,晚安！"""
fear,。不要下雨啦，还下雨我的游泳票就浪费啦。。先是觉得用不完，然后又觉得不够用，结果最后还真的用不完的感觉很神奇。
happiness,。今天晒死了，做张面膜先...[嘻嘻][嘻嘻][嘻嘻][嘻嘻][奥特曼][奥特曼][奥特曼][奥特曼]
sadness,。电影《当爱来的时候》，不完整的家庭，没人关心，偏执，早恋，叛逆，怀孕，被抛弃，亲人离世，....。喜欢阳光的单薄的16岁的女生，只能坚强的独自面对一切，。她喜欢被关心被包围的感觉，唯一一次却只是在分娩的剧痛中。。爱吧，爱就爱了，不要把仇恨嫁接给爱你的亲人，不要让爱你的人这么难过。。
sadness,。完全没办法一觉睡到大天亮=。。。一直凌晨2点左右就醒过来了，不管头一天多累，要崩溃了，求好睡秘方！。喝牛奶的方法就算了！。泪奔TAT
sadness,。习惯了每天进空间看看你们每个人的动态。。然后知道你们谁过得开心，谁在纠结，谁和谁开始一段新的感情，谁和谁结束一场旧的纠葛。。远远的关心和想念，却并不联系。。只是，我想你们。
sadness,。小怜今天一天都是这样的眼神，一直不吃东西，整整快一天了，刚才才开始狼吞虎咽。。可怜的孩子接受领养和认养
happiness,。首个亚冠比赛日让中国球迷异常振奋，不光是因为天津和杭州为中国足球带来了两个三分，更关键的是，在亚洲杯失利之后，在中超联赛下滑至亚洲第六后，终于有人，有球队站了出来，用实际行动告诉所有人，我们中国的俱乐部没有掉队！
surprise,。夕阳的余晖洒在他身上，刚毅的脸庞上散发出视死如归的光芒……。烤糊！。我看着都腿软了，还那么有诗意！。[吃惊]
happiness,。有人发帖问：喜欢上一个银行柜台MM，有啥好办法追求吗？。回帖：去存钱然后存折不拿，她会叫住你...。银行妹：哎...。你的存折!!!。楼主回眸一笑：是你的存折!!!
like,。１９７３年３月９日与我国与西班牙建交。。皇宫、马约尔广场、兰布拉斯大道、弗拉门戈吉他、佐罗、大美妞......。建交有啥用？。还是不能随便去......。那个大美妞啊.......
disgust,。最近风投加紧往团购网砸钱，而团购网站也改变给销售人员的提成方式，考核方式由利润基数改为销售额基数，说明大家急于做大市场规模、抢市场份额。。烧钱啊！。一年后或许只能剩下20家了。
disgust,。我们单位是一个好单位、我们虽然下班晚、但是我们上班早啊！。我们虽然休息少、但是我们值班多啊！。我们虽然冬天冷、但是我们夏天热啊！。我们虽然放假晚、但是我们开工早啊！。我们虽然工资低、但是我们工作多啊！。找工作、就该选这样的、拿最少的钱、上更多的班、放更少的假！。我们单位是一个好单位！
disgust,。昨晚和木头聊天，这家伙的悲观情绪差点把我带道儿里去！。不论我说什么，他都是一幅死样子，这婚姻生活才开始就消极上了，。我想说：甭把自己想的太复杂，不就是普通人一个！！！
anger,。老人被指杀人47年后洗脱罪名 获20万元国家赔偿 有些人犯错为什么要国家赔偿？。国家赔偿的钱是不是人民纳税的钱~~~~。难道一些人犯错 让人民去赔偿吗？
disgust,。杨隋代北周，流血了吗？。武周代李唐，流血了吗？。赵宋代后周，流血了吗？。不流血而换政权，但政制不变，堪与辛亥相比吗？
happiness,。今天支持一下国货 张裕的张裕的 哈哈哈 收到lanecrawford的信 让我赶紧更新金卡 呜呜.。zzzzzz[泪]
sadness,。这动图的前一秒 其实是曺圭贤把曺振浩拉过来的 哎买哎买哎买 jino啊jino 你快高长大出道神马的 从冬天等到夏天了 我都等得发如雪了[淚] [淚] 这么多新团鸭梨比山大有木有！！！
like,。白雪牌冰砖是我儿时的最香浓的回忆，那时会在夏天的傍晚，搬张躺椅坐在弄堂里，妈妈这时就会拿一块冰砖出来，用小洋刀对半斜角切开（为了看上去大点）分给我和狗狗，我就拿着盘子用调羹挖着吃，妈妈就舔舔包冰砖的那种油纸头。。那时的冰砖就很贵啦，好奢侈。
sadness,。如果我想你了，我会掏出手机，看看有没有你的短信；如果我想你了，我会用拇指在手机上飞速的打下一连串问候，最后却没有按下发送键。。如果我想你了，我会想，你是否会想我呢？。如果我想你了，晚上做梦也梦到朦胧的你。。我想，每个人的心里，都有让你思念的人。。有时候思念是自己也没办法控制的……
sadness,。站在马路的对面，眼睁睁的看着心仪已久的公交车载着我梦寐的女孩渐渐远去。。只因为一个红灯的间隔。。人生的机会亦如此啊下一班还不知要等多久。。抓住机会是多么的重要啊！
disgust,"。完全不明白,年輕人在處事上不成熟是正常的,這才是有血有肉正常心智的。。但年老的人......。我只能說,上一代的人,更不成熟。"
sadness,。我记得粉丝723的时候我发微博，那时我们都还在一起。。可现在823了。。我们分开了。。毕业了。。再也不见了吧
like,。3月份去甘肃三院，这里住24位尘肺病人，都有一个共同症状咽干、咽痛、咳嗽，我让医院用24条毛巾缝24个袋子，每袋装1斤粗盐。。微波炉加热后敷在脖子上，三天后全好了。。这办法治疗咽炎也可以
like,。为神马我看到十三抱着若曦就这么有感觉呢，为神马老袁和诗诗还是看着最登对的呢~~~~~~~~~~我的康慈，我的慕仪~~~~
like,。个人认为，骆家辉作为前商务部长，比作为华裔出任驻华大使的积极意义更大，预示着奥巴马政府对华商务交流合作的重视程度与日俱增，而骆家辉更将承担致力减少美中贸易逆差的斡旋人角色。。[思考] ps.开复老师的八卦爆料更吸引我眼球。
disgust,。从《货1》到《货3》我一直坚持投资贵金属的观点，从未动摇，与其把养老的希望寄托在政府身上，不如靠自己！。高福利的社保系统会出现世界范围的大规模破产或违约，不破产不违约，就必须印钞票，贵金属将在未来15年有效对冲纸币的大洪水灾难。。你也许不能靠金银发大财，但至少可以保护你今天的财富不被掠夺
like,。21世纪经济报道率先推出内部创业引导基金，鼓励员工互助互补性实现内部创业，并在必要时孵化出法人主体。。好！！！
like,。这才是我喜欢的JAY风格电影，《头文字D》虽然是杰伦的第一部电影，但我认为也是最好的一部，相对最近几年的其他烂片来说。。再看几遍还是那么有feel
happiness,"。回复@新浪家居产品评测中心:当然是完美结合啦,哈哈.。//@新浪家居产品评测中心:家居风水和评测结合一下不知道会有什么样的效果"
sadness,。最近太过脆弱，脆弱到不知如何坚强，外面醉了的朋友，其实我也醉了，我也悲伤，人生走到如此只能说一句，身边的人开心，我也开心了
like,。那个年代我就送你我最喜欢的贺年卡了，我回忆一下，大概是02-04年之间，再往后，我不会干这么2的事儿了。[爱你]
disgust,。美国校车的特权：有最牢固的设计和特殊的颜色。。学生放学时，所有的车辆必须无条件停下来让孩子先行。。他们的理念是：要象保护总统一样保护孩子的安全，因为你不知道，这些过马路的孩子中，不知道哪个会成为美国未来的总统。。再对比一下我们的校车。。。
like,。这个必须要隆重推荐下。。。。。DR.B毛孔清透霜 那会我的痘痘全都是这个用好的。。杭州大厦专柜有。。一个月用下来绝对好。。刚冒出的痘痘还可以晚上睡觉前厚厚的敷一层。。第二天肯定退。。霜状的质地刚摸上去感觉稍稍有点粘 但是非常好吸收
happiness,。终于有状态了！。那种大考前的状态：开着电脑，刷着微薄，看着大家的祝福，打开酷狗，听着3拍子的小曲儿，哼着悠闲的调调，脑子里想到的是明天早上看到的一群童鞋们，还有穿得红艳艳的老师，然后抽根提神的薄荷小烟！。yo！。哥兴奋了！。要的就是这种感觉！。明天有感觉会超常发挥！。（哥继续用这块幸运橡皮）
like,。食品安全是个问题，多方的表现都不错。。//@暨大爆料：兴安超市怎样避免类似食品安全事件再次发生才是重点，学生的身体你伤不起啊。
like,"。由我认定你是我偶像的那一刻,我用心用时间用耐性去回补你入行以来的所有事迹.。你说我们是你的动力你说有我们的支持你不用睡觉.。我们感动我们心痛.。由我认识你到你在我心中定格快8年吧.。你从没有一刻让我们失望过,你那90度的鞠躬是很多偶像做不到的.。林峯、我不是你唯一的honey,但你是我唯一的RaymondLam."
anger,。国贸的人保定损真不是个东西，说非人保合作单位修车，不给定损。。我又来崇文门人保定损中心了，这边说，没这个规定。。明年打算换保险公司了。
sadness,。思念确实是一种非常奇妙的感觉，我想人也许就是因为有了感情才会使这个世界这么丰富多彩吧。。当你有牵挂的时候说明你还是活生生的生活在这个星球上，可以每天都满怀期望。。生活有了追求，有了期盼。。午夜，我依旧在想你。
happiness,"。早高峰,我家到公司打车15元,我表示我家住的其实也不远嘛,我表示武汉的房价不贵嘛,我表示是八是今天很多妇女放假了呀,我表示原来妇女解放的那么彻底都成为交通拥挤的主力军了"
anger,。我接受澳门大学的邀请，出席将于4月15日在珠海召开的横琴发展论坛。。但3月4日突然接到主办方来信，说大陆相关政府方面对出席学者的名单审核时提出异议，不得不撤销对我的邀请。。继去年12月1日不让我去新加坡参加一个国际会议之后再一次无端侵犯我的基本公民权利。。这样做难道能够建立和谐社会吗？。能增加中
fear,。博主，我现已在江南大道南绕了2圈，最多只有江南大道南486号，没有1230号，电话也是空号，不会是流嘢吧？[抓狂]
sadness,。一同学Q闪说她明天会到广州，我兴奋提议小聚，她说来不及，因为是来广州飞马尔代夫去……。又与一友约面谈，她说得晚几天，因为她明天要去巴厘岛……。再又想起某邻居今天上午找我打听订酒店的事，因为她下周要去迪士尼……。[泪] 你们都告诉我干嘛呀？。我是去SHI呢还是去SHI呢还是去SHI呢……
sadness,。要去的酒店恰好超出机场出租车的近途范围一点，。我们感觉特内疚，。我跟师傅说回头给酒店提个意见让他们搬远点…
like,。有一个地方叫军营，有一种人叫军人，有一种场面叫集体想家，有一种煎熬叫五公里越野，有一种折磨叫四百米障碍，有一种奢望叫周末晚起床，有一道风景叫女兵，有一种感情叫战友，有一段回忆叫军旅！。献给现在或曾经是军人的战友。
anger,。貌似B超的结果不太好，医生也不说，拜托我有知情权啊！！！。还有神马甲状腺结节还是淋巴神马的，拜托是癌症就告诉我啊！[怒][怒][抓狂][抓狂]
like,。前面在跟辰亦儒聊天的厉旭~ 合照的时候就跑到一边了 身高问题咩？。ヾ(≧O≦)〃嗷~厉旭你真可爱。。曺圭贤你乐什么乐啊。。知道你高TAT
surprise,。早起？。4点钟怎么也是了吧，居然在闹钟响之前！。还行，还能控制自己的生物钟。。一片寂然，除了零星的几条新闻。。看来人睡多了也是浪费时间，5、6个小时+十几分钟午睡足够了。。[做鬼脸]
like,。在今天KBS新闻中看到了面熟的东西，是这两次专门为应援制作的横幅^^演唱会的时候也看到很多家人举着，在中啊，看到了么？。看到了吧^^无论年长还是年幼，爱着你的心都是一样的不会改变[心] [心]
like,。看着这个片段，为什么我就立刻有种洋娃娃的感觉&amp;amp;gt;&amp;amp;lt;这是怎么一回事..。真的好有洋娃娃的感觉...。动图，请使劲戳。
anger,。AA已在所有都调好的情况下死了三回。。。。调个音量而已我总不会挪一下就保存一下啊！！！！。啥也浇息不了我的满腔怒火！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！。尼玛！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！。吃西瓜去！！！！
happiness,。说话算数！。现在上传第十张没有压缩的照片，大家可以点大下载。。我不是追星族，但是，今天和朋友们的交流很开心，祝福朋友们粽子节快乐！。刘曙松摄
like,。想出本关于钟汉良的书，在形式内容上大家有啥好点子？。良民们商量一下，然后我们拿一个企划出来，找钟汉良的公司申请授权。。感谢各位了。
sadness,。网易微博的活动，我成了漂流的第一人，问题是当时发布会现场我用手机开通的网易微博，帐号早就忘了......。嗯，先放一放吧[挖鼻屎]刘永好先生我对不住您
happiness,。昨晚梦到歪密了。。一个巨大的露天体育场，我在山上。。开场一曲《WhyMe2011》那叫一个劲爆，全场立刻嗨翻。。后面的表演要换场地，于是我们屁颠儿屁颠儿坐着小火车换场地。。我葱下场时是从我身边过去的，一身白，巨美。。边走还边发道具，别人拿到的都是带饼干的铅笔盒，只有我的是望远镜～。[可爱]
like,。虽然很久没有使用卡片机了，但给它们添置新行头的热情从来没有熄灭过。。（我有时真觉得自己好像一个淘宝卖家啊！。）
disgust,。哇，里滴天气简直要我里种肥婆受死接！。简直想依家出现后羿帮手射太阳，或者俾我一只箭，等我里个射手座射左个太阳佢
like,。学会爱自己 ------。我们都不是很完美的人，但我们要接受不完美的自己。。在孤独的时候，给自己安慰；在寂寞的时候，给自己温暖。。------ 只要对自己有信心，懂得珍惜自己，世界的一切不完美，你都可以坦然面对。
disgust,。问他怎么安慰发飙的女朋友他先对妞唱啦啦歌，又问再不好怎么办，他一下喊出来：怎么做怎么错！。女人到底想什么！
disgust,。我国正处于并将长期处于社会主义初级阶段；。我们正处于并将长期处于民主意识不高的阶段；。我们正处于并将长期处于舆论管制阶段；。我们正处于并将长期处于司法不独立阶段；。我们正处于并将长期处于工资低下阶段；。我们正处于并将长期处于房价高涨阶段；。我们正处于并将长期处于失望的阶段。
like,"。请记得■身份证■准考证■2B铅笔■中性笔■橡皮■尺子■圆规■水瓶 ■手表■面巾纸 ■自信■还有微笑（再把我的祝福带给你）转发给你珍视的人,幸运与你同在-----努力过的同学们，高考必胜！！"
like,。射手座的热情和开放一切只因想要掩饰内心的痛苦和难受，因为自尊，面子。。射手不想被人家嘲笑，因为性格好强，又自我为中心。。所以有时候宁愿自己把最好的一面呈现出来，让人家看见射手最光鲜最美的一面。。如果你接触了射手座的人，你会深深体会到ta的真诚和侠义。。射手座的骨子里面透露的是一股正义。。。
like,。我在想，每个人都要做好当下的事，尽当下的本分。。年龄不同，空间不同，需要做的自然有差别。。高考虽悲壮，可我们一起走过。。。。同学们，不管早上的考试如何，请放下不安，好好吃饭，小憩一下，下午继续吧！！。这不是检验能否成功的唯一标准，可却是你必须经历的一场人生洗礼……。加油！！
like,。北理校队威武，第五次夺得中国大学生足球联赛冠军！。将代表我国世界大学生运动会！。下图为比赛结束哨声发出之时
anger,。国在国际上的声望吗？。对国家，对社会有一点好处吗？。希望我国的政府不要走上错误的道路而不自觉。。越陷越深。
happiness,。哈哈 如果灵山的负责人吴国平同志看到了，花个300万请你做个片子~~。形象需要重塑~~。把《如来如去》给重新策划制作一下~~
like,"。无论何时无论何地，不管我变成了什么样子，亦不管你处在什么位置，只要想起你为午饭开放的私信,你为午饭泛起的泪光,你偷偷从背后伸向午饭的手,你冒雨捡起的午饭的信,你说的那句在一起,你唱的那句感谢午饭们陪我到最后…。我就知道，你一直都是我爱的纯白少年武艺!"
disgust,。建议代表们出行排个队，实行军事化管理，双车道限行，结果车是一辆一辆零星飘过，交税养了这群无组织无纪律，破坏人民和谐出行的奥迪
happiness,。三月mbox合肥电视台影院频道奥斯卡经典最佳影片回顾！。每个周末献上四部佳片，预告集中在此！。大家快来转发吧，有惊喜哦！。@统计评论
sadness,。也许沭阳并不是那么好，但是总是在回忆中。。想去建陵中学看看，想去实验中学看看。。其实，到了那里，门卫也难让我进去，即使进去，也没有认识的人。。物是人非就是这种感受。
surprise,。我真的惊呆了，作为一个泡美容坛子N年的人，第一次看到这么震惊的事情。。。不过还好，我还没看到一个我们周围泡美容坛子还去跟这种团的熟人。。。。。。。。美容护肤，最起码基本的卫生要保障吧。。。啊
happiness,。忘了发今天在地下室照到的两人PK大战[奥特曼] [奥特曼] 经过我处理之后现在跟童鞋们分享图片。。。sexy[花心]
happiness,。[微风] 运动会终于结束了，公司总成绩第一，六项荣誉，十九天的连续作战，值了，就是浑身都疼啊，休息中、、、、
sadness,。创业要趁早啊，尤其是移动互联网这样的颠覆性机会。。记得去年有一次，我和一个很好的同志谈移动互联网创业，方向和产品都一起理的很清楚了，我说一起干吧，他说再等等。。结果今年再见，晚的多的相似方向公司已做的不错，我和他开玩笑说，如果去年你开干，现在已经是百万用户，数千万美金级别公司了。
happiness,。还有几天就结束舞动了，最后一集反而心情极其轻松。最开心的是所有舞动的选手们都回来啦。他们会一起表演很可爱很动感的开场舞哦，圆满。。。
disgust,。回复@王诚Cyn:这就是区别，安徽卫视总是怕这怕那的，看看人家天冿的气场 //@王诚Cyn:转发此微博:今晚在天津卫视还看到包了啊
disgust,。今天翻看平时不穿的那衣橱，看到一条起码三年前买的裤子，买回来到现在只穿过一次，今天再一次穿，突然觉得好小......。我是胖了多少啊........。[害怕][害怕]
surprise,。奇！。[good] 真是到了一个登峰造极的程度，难道大自然就如此神奇？。这一阴一阳遥相互对应的山脉。。真的就是人类始祖女娲曾在丹霞山造人时，取五彩石补遗留下的见证。。天舜帝南巡时也曾在丹霞山登山奏韶乐。。最近这个地处广东韶关的历史文化产物-----丹霞山，作为重要的旅游资源，已被评为世界珍贵自然遗产。
sadness,。我才发现，原来感性的人会多想很多很多。。就如我给你发信息，你会偶尔回我，然后干脆不回，渐行渐远。。我们都明白，彼此都不会是最后谁的谁。。我以为我在你身边多待几秒，你会多想我一点。。我以为我拼命地和你说话，你会感觉到我多爱你。。------我以为我做的，你会明白。。但是，我错了……
fear,。危机有两种，当雷曼兄弟或两房崩溃时，人们不一定逃向金银，他们更可能投奔美元或美国国债，老夫称之为金融危机。。但是，当美国国债爆发危机时，更多的人注定挤向金银的逃命出口，这时的危机叫货币危机！。而且是世界储备货币危机！。我们不知道这一天什么时刻来临，但也许就在15年内的某一天降临。
like,。不叨叨了~~都懂吧~~~妈妈的主打美食~~开造！。疙瘩汤、虾仁三鲜蒸饺、干肠蒸干豆腐、沾酱菜、玉米加芋头、最后来点木瓜~~我美了美了美了~~撑了撑了撑了~~~发了发了发了~~~
anger,。是TY，你们准备好了吗，后天出票，到现在座位图座位图没有，票价票价没有，搞了个全场VIP。。天天正事不干就泡网上找骂！。骂你们还真是每个老百姓应尽的义务啊！
like,。话说虽然这片子被打分那么低，被骂那么惨……。而且又是晚了半年才在这边上映……。但是由于题材对胃，还是莫名挺喜欢……。最后还挺感人不是么嘤嘤嘤嘤QAQ
anger,。本可以预想的结果，再三的交待，然因流程，几经被流转后，仍旧是原先预想的结果。。你说给力不给力呀？。网站...
like,"。送给各位还剩着的姐妹们""结婚这个事儿不应该是想结婚或不得不结婚再去找合适人选，而是你生命里出现了一个人，只有他(她)让你产生婚姻的念头"
surprise,。我~上个法学老师考试发糖，这个写作老师考试一边写作文一边做手工！。老师们，你们这是肿么了？。肿么了？！！！
happiness,。很久没试过这样，慢慢坐在Macdrive听着周杰伦的一首歌，突然世界变得美好了，也许根本这个世界都没变过，只是你[大笑]大家早，祝今天美好心情[玫瑰][太阳]
happiness,。110628朴正洙TW：台湾榜单56周1位!!!!。谢谢大家..。给予了这个开始的我们亚洲圈得fan们 真心感谢大家!!
like,。长出触角与世界连接，建立自己的情报系统：书本、电影、旅行、人际、环境。。关于做人的尺子，我们其实可以有很多衡量的方式。。换一种思维模式和人生经营理念，我们会活得更自信和快乐。
sadness,。爬HCL的时候看到的…………。又秒到我了…………。为毛都过一年了我还是这么不争气………………。5555555555555555
like,。cpu是1g的双核hummingbird 4.3寸SPA大屏幕 130万前置摄像头 蛮给力的配置
disgust,。《看到问题》：群众反映强烈的哪些问题没有根本解决呢？。有：优质教育、医疗资源总量不足，分布不均（上学难，看病难也）。。物价上涨压力加大，部分城市房价涨幅过高（涨价太猛，吃不消也）。。违法征地拆迁等引发的社会矛盾增多（强拆令人反感也）。。食品安全问题突出（奶、米、油、让人愁也），等等等等。
sadness,。[心] [心] [心] 以前父母都会对老师说：老师，孩子就交给您了[心] 。。可现在，这句话没了，因为老师把孩子又还回来了[伤心] [伤心] [伤心] 。
happiness,。恭喜淘宝商城
anger,。恒通其实只不过代表了当地政府的态度，就好像申沃、中通等一样，根深蒂固的地方保护与对公共交通不思进取的表态，不否认恒通的相关产品的确符合部分西部区域市场，但不该成为部分城市技术停滞不前的借口！
disgust,。经常碰到这样的员工，他们总是强调自己的困难，比如房租、吃饭、穿衣、人情往来等等，然后以这些为理由要求加工资。。可是这些人忘了薪水支付的原则是：按劳分配，按能付酬。。天道酬勤酬果，不酬难。。高收入靠的是勤奋和成绩，个人困难绝对不是拿高工资的理由。
disgust,。你是职业运动员，滑冰是你的工作以及你挣钱的来源，但尼玛郑允浩他不是啊，即使他对于你来说名气再小再TM只是歌手，TM他也是日单卖了25W的歌手，他来回日韩坐飞机跟打的样你要他练习，他本来胜负欲就强你这话一说可好，他会难过当然你不会知道，因为你不是饭，你是韩国的骄傲，我们这群饭也只能干着急
disgust,。是啊，那些把说外国好就认定是不爱国的人，不知你们是真糊涂还是真奴隶。。爱国才会批评中国，只会批评外国的，却不一定爱国，只是无知罢了，这种人通常都没出过国。说起中国的优点外国的缺点却一套套的，真是党的优秀接班人，。无知的就帮了独裁者的忙，混淆了人民的视听，还好有越来越多的人看到了真相
disgust,。人人上面各种唧唧歪歪的人。。。。你说女生天天情伤情伤的就算了。。。。一大男人。。。。天天酸了吧唧的有劲吗？。偶尔一下显露你内心柔弱的一面还不够啊？！。非要成天唉声叹气娘娘腔似的。。。
disgust,。昨晚超市购买：半个西瓜、五个西红柿（两个中等个，三个小个）两个土豆（一顿吃的）。。两片豆腐干、两根大葱、一块钱面条。。共花费38。4元。。妈的，结果面条涨价我不知道，原来一块钱的有点多，现在一块钱的不够吃。。。
disgust,。觉得呢次KC噶物理难化学易噶举手、我觉得化学难物理易哇[哈哈]同意我的也举手！。觉得两科都难噶就勉为其难叻、觉得两科都易噶去吃shi！
happiness,。俺滴越南堂哥折腾了15年之后，终于可以去美国和家人团聚了，昨晚大摆家宴，全是边境特色菜哦：瓜皮炒珍珠螺，萝卜缨炒泥丁，沙虫冬瓜汤，清蒸鲳鱼。。粉丝蒸带子，盐腌金丝鱼，白切香鸭，于是还顺便和堂哥讨教了一下酿制野生山葡萄酒滴方法。。
fear,。今天的CET4 除了作文 别的我都不知道是怎么做出来的[挖鼻屎] 祈求上天保佑！！！。[祈祷][祈祷][祈祷]
like,。去某地出差，宾馆外有幅画特喜欢，拍了。。适合性格爽朗的同志们看和收藏。。性格不爽朗的，看着看着，估计也爽朗了；。
disgust,。每一个逼淋巴细胞只能产生一种特异性抗体所以人体内的逼淋巴细胞表面的抗原MHC受体是有多种的而血清中的抗体是多种抗体的混合物~~~~~~~~我要疯了
disgust,。臭烘烘闹哄哄 闹市屠宰场扰民 罗溪屠宰场内十分简陋 罗溪位于闹市的屠宰场，旁边有农贸市场、宗祠、银行、老协会等，紧邻的还有不少住宅楼和民宅，周边异味浓烈。。这座占地300多平方米的屠宰场老旧，设施简陋，两个用来烧热水的灶台，一排水龙头，三四张案板。
sadness,。我想说允浩胸前两边各两道抓痕是什么[汗]。。。。。血淋淋的四道红印子看着心疼啊[揉]不会是自己撕衣服时候自己抓开的吧。。。。。
sadness,。如果我不是那么坏脾气，也许会发现你很好。。。。你能包容我所有的任性和不懂事吗？？。[兔子][熊猫][照相机]亲们把你心中的他~~默默对照吧。。。
surprise,。110629希澈回复FAN推te：嗯？。哥哥这个时间去按摩脚啊？！。希：嗯 住在弥阿里的金政模在按摩脚，叫声相当悦耳^-^
like,。已转的事，后必再有；已有的事，后必再有；已行的事，后必再行；日光之下，并无新事。。唯有一事，今日三八，女粉丝们，为你祝福！
